transaction_id,card_id,account_id,amount,timestamp,channel,merchant_id,merchant_name,mcc_code,category,device_id,device_type,is_rooted,is_vpn,ip_address,ip_country,is_declined,declined_reason
TX-10001,CARD-1001,ACC-9001,15.50,2026-01-14T10:00:00Z,online,MERC-GROCERY-01,FreshMart,5411,Groceries,DEV-PHONE-01,mobile,false,false,192.0.2.1,US,false,none
TX-10002,CARD-1001,ACC-9001,4500.00,2026-01-15T12:00:00Z,online,MERC-ELEC-01,ElectroWorld,5732,Electronics,DEV-RING-X9,desktop,true,true,198.51.100.42,US,false,none
TX-10003,CARD-1002,ACC-9002,1.00,2026-01-22T08:00:00Z,online,MERC-CHARITY-01,GlobalCare,8398,Charity,DEV-BOT-01,bot,false,true,203.0.113.88,US,false,none
TX-10004,CARD-1002,ACC-9002,1.00,2026-01-22T08:02:00Z,online,MERC-CHARITY-01,GlobalCare,8398,Charity,DEV-BOT-01,bot,false,true,203.0.113.88,US,false,none
TX-10005,CARD-1002,ACC-9002,1800.00,2026-01-22T08:05:00Z,online,MERC-LUXURY-01,LuxeBrands,5311,Luxury,DEV-BOT-01,bot,false,true,203.0.113.88,US,false,none
TX-10006,CARD-1003,ACC-9003,45.00,2026-02-01T17:10:00Z,pos,MERC-DEPT-01,TargetStore,5310,Retail,DEV-PHONE-M3,mobile,false,false,192.0.2.14,US,false,none
TX-10007,CARD-1003,ACC-9003,60.00,2026-02-01T17:15:00Z,pos,MERC-DEPT-01,TargetStore,5310,Retail,DEV-PHONE-M3,mobile,false,false,192.0.2.14,US,false,none
TX-10008,CARD-1003,ACC-9003,85.00,2026-02-01T17:22:00Z,pos,MERC-DEPT-01,TargetStore,5310,Retail,DEV-PHONE-M3,mobile,false,false,192.0.2.14,US,false,none
TX-10009,CARD-1004,ACC-9004,8500.00,2026-02-14T11:00:00Z,online,MERC-WIRE-01,FastWire,6051,WireTransfer,DEV-TOR-99,desktop,false,true,198.18.0.55,NL,false,none
TX-10010,CARD-1005,ACC-9005,4200.00,2026-02-28T15:00:00Z,online,MERC-INSUR-01,StateInsurance,6300,Insurance,DEV-LEGIT-05,desktop,false,false,192.0.2.77,US,false,none
TX-20001,CARD-2001,ACC-8001,2850.00,2026-03-01T14:00:00Z,online,MERC-ELEC-01,ElectroWorld,5732,Electronics,DEV-RING-X9,desktop,true,true,198.51.100.42,US,false,none
TX-20002,CARD-2002,ACC-8002,6200.00,2026-03-02T16:30:00Z,online,MERC-CRYPTO-01,CryptoExchange,6051,Crypto,DEV-TOR-99,desktop,false,true,198.18.0.55,NL,false,none
TX-20003,CARD-2003,ACC-8003,1.00,2026-03-03T09:00:00Z,online,MERC-CHARITY-01,GlobalCare,8398,Charity,DEV-BOT-01,bot,false,true,203.0.113.88,US,false,none
TX-20004,CARD-2003,ACC-8003,1.00,2026-03-03T09:01:00Z,online,MERC-CHARITY-01,GlobalCare,8398,Charity,DEV-BOT-01,bot,false,true,203.0.113.88,US,false,none
TX-20005,CARD-2003,ACC-8003,1200.00,2026-03-03T09:03:00Z,online,MERC-LUXURY-01,LuxeBrands,5311,Luxury,DEV-BOT-01,bot,false,true,203.0.113.88,US,false,none
TX-20006,CARD-2004,ACC-8004,450.00,2026-03-04T11:00:00Z,online,MERC-RETAIL-02,ShopTrend,5311,Retail,DEV-MOBILE-04,mobile,false,false,198.51.100.12,US,false,none
TX-20007,CARD-2004,ACC-8004,500.00,2026-03-04T11:02:00Z,online,MERC-RETAIL-02,ShopTrend,5311,Retail,DEV-MOBILE-04,mobile,false,false,198.51.100.12,US,false,none
TX-20008,CARD-2004,ACC-8004,900.00,2026-03-04T11:05:00Z,online,MERC-TECH-01,GizmoDirect,5732,Electronics,DEV-MOBILE-04,mobile,false,false,198.51.100.12,US,false,none
TX-20009,CARD-2005,ACC-8005,8500.00,2026-03-05T15:20:00Z,online,MERC-JEWELRY-01,DiamondPalace,5944,Jewelry,DEV-NEW-55,desktop,false,false,203.0.113.19,US,false,none
TX-20010,CARD-2006,ACC-8006,450.00,2026-03-06T18:45:00Z,pos,MERC-LONDON-HOTEL,LondonBoutique,7011,Lodging,DEV-POS-LON,pos,false,false,81.2.69.142,GB,false,none
TX-20011,CARD-2007,ACC-8007,7100.00,2026-03-07T20:10:00Z,online,MERC-GIFT-01,eGiftCenter,5947,GiftCards,DEV-EMULATOR-77,emulator,true,true,198.51.100.99,US,false,none
TX-20012,CARD-2008,ACC-8008,65.40,2026-03-08T12:30:00Z,online,MERC-GROCERY-01,FreshMart,5411,Groceries,DEV-HOME-MAC,desktop,false,false,192.0.2.1,US,false,none
TX-20013,CARD-2009,ACC-8009,15400.00,2026-03-09T14:15:00Z,online,MERC-WIRE-01,FastWire,6051,WireTransfer,DEV-VPN-NORD,desktop,false,true,198.18.0.101,CH,false,none
TX-20014,CARD-2010,ACC-8010,1.00,2026-03-10T07:45:00Z,online,MERC-CHARITY-01,GlobalCare,8398,Charity,DEV-SCRIPTER-02,bot,false,true,203.0.113.44,US,true,invalid_cvv
TX-20015,CARD-2010,ACC-8010,950.00,2026-03-10T07:48:00Z,online,MERC-AIRLINE-01,SkyWings,4511,Airlines,DEV-SCRIPTER-02,bot,false,true,203.0.113.44,US,false,none
TX-20016,CARD-2011,ACC-8011,320.00,2026-03-11T16:00:00Z,pos,MERC-AIRPORT-DUTY,AirportDutyFree,5309,DutyFree,DEV-IPHONE-15,mobile,false,false,192.0.2.155,US,false,none
TX-20017,CARD-2012,ACC-8012,3900.00,2026-03-12T19:30:00Z,online,MERC-GAMING-01,GameZone,5734,Gaming,DEV-RING-X9,desktop,true,true,198.51.100.42,US,false,none
TX-20018,CARD-2013,ACC-8013,4200.00,2026-03-13T21:00:00Z,online,MERC-TECH-01,GizmoDirect,5732,Electronics,DEV-NEW-DESK,desktop,false,false,198.51.100.67,US,false,none
TX-20019,CARD-2014,ACC-8014,120.00,2026-03-14T08:00:00Z,online,MERC-UTILITY-01,CityPower,4900,Utilities,DEV-HOME-PC,desktop,false,false,192.0.2.5,US,false,none
TX-20020,CARD-2015,ACC-8015,5400.00,2026-03-15T10:20:00Z,online,MERC-P2P-CASH,QuickP2P,6051,P2P,DEV-PROXY-TOR,desktop,false,true,198.18.0.78,RO,false,none
TX-20021,CARD-2016,ACC-8016,2100.00,2026-03-16T13:40:00Z,online,MERC-ONLINE-DEPT,MegaStore,5311,Retail,DEV-BOT-03,bot,false,true,203.0.113.12,US,false,none
TX-20022,CARD-2017,ACC-8017,14.99,2026-03-17T03:00:00Z,recurring,MERC-STREAMING-01,StreamFlix,4899,Subscriptions,DEV-SERVER-AUTO,server,false,false,192.0.2.200,US,false,none
TX-20023,CARD-2018,ACC-8018,9800.00,2026-03-18T17:15:00Z,online,MERC-GOLD-EXCH,BullionDirect,5944,PreciousMetals,DEV-EMULATOR-77,emulator,true,true,198.51.100.99,US,false,none
TX-20024,CARD-2019,ACC-8019,780.00,2026-03-19T22:30:00Z,pos,MERC-TOKYO-HOTEL,TokyoGrandHotel,7011,Lodging,DEV-POS-TOKYO,pos,false,false,133.242.0.1,JP,false,none
TX-20025,CARD-2020,ACC-8020,18500.00,2026-03-20T15:00:00Z,online,MERC-WATCH-STORE,ChronosWatches,5944,Jewelry,DEV-UNKNOWN-99,desktop,false,true,198.18.0.222,DE,false,none
